AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
6.184;8.202;12.094;6.184;5.005;5.005;4.66;5.005;4.66;8.906;5.005;17.028;6.184;17.028;17.028;17.028;17.028;17.028;17.028;17.028;5.005;5.005;12.47;5.9030000000000005;14.586000000000002;6.184;5.005;6.184;14.586000000000002;4.66;4.66;4.66;4.66
5.144;6.706999999999999;8.084;5.144;4.133;4.133;4.133;4.133;4.133;7.848000000000001;4.133;15.572;4.133;15.572;15.572;15.572;15.572;15.572;15.572;15.572;4.133;4.133;12.47;4.936999999999999;11.49;4.133;4.133;5.144;11.49;4.133;4.133;4.133;4.133
5.590999999999999;7.511;8.427;5.590999999999999;4.322;4.322;4.218;4.218;4.218;8.516;4.322;14.709;4.322;14.709;14.709;14.709;14.709;14.709;14.709;14.709;4.218;4.218;13.4;4.322;11.387;4.309;4.322;5.590999999999999;11.387;4.218;4.218;4.218;4.218
4.694;5.090999999999999;8.892;4.694;4.546;4.546;4.436999999999999;4.436999999999999;4.436999999999999;5.0;4.546;9.1;4.546;9.1;9.1;9.1;9.1;9.1;9.1;9.1;4.436999999999999;4.436999999999999;5.88;4.546;9.78;4.546;4.546;4.694;9.78;4.436999999999999;4.436999999999999;4.436999999999999;4.436999999999999
3.7670000000000003;3.7670000000000003;7.368;3.7670000000000003;3.7670000000000003;3.7670000000000003;3.7670000000000003;3.7670000000000003;3.7670000000000003;3.7670000000000003;3.7670000000000003;10.4;3.7670000000000003;10.4;10.4;10.4;10.4;10.4;10.4;10.4;3.7670000000000003;3.7670000000000003;3.7670000000000003;3.7670000000000003;9.78;3.7670000000000003;3.7670000000000003;3.7670000000000003;9.78;3.7670000000000003;3.7670000000000003;3.7670000000000003;3.7670000000000003
3.97;3.97;7.765000000000001;3.97;3.97;3.97;3.97;3.97;3.97;3.97;3.97;14.059999999999999;3.97;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;3.97;3.97;3.97;3.97;9.574;3.97;3.97;3.97;9.574;3.97;3.97;3.97;3.97
4.059;4.059;7.938;4.059;4.059;4.059;4.059;4.059;4.059;4.059;4.059;14.709;4.059;14.709;14.709;14.709;14.709;14.709;14.709;14.709;4.059;4.059;4.059;4.059;9.78;4.059;4.059;4.059;9.78;4.059;4.059;4.059;4.059
4.326;4.326;8.422;4.326;4.326;4.326;4.326;4.326;4.326;4.326;4.326;9.998999999999999;4.326;9.998999999999999;9.998999999999999;9.998999999999999;9.998999999999999;9.998999999999999;9.998999999999999;9.998999999999999;4.326;4.326;4.326;4.326;9.78;4.306;4.326;4.326;9.78;4.326;4.326;4.326;4.326
4.965999999999999;4.965999999999999;7.944;4.965999999999999;4.965999999999999;4.965999999999999;4.965999999999999;4.965999999999999;4.965999999999999;4.965999999999999;4.965999999999999;4.061999999999999;4.965999999999999;6.7989999999999995;6.7989999999999995;6.7989999999999995;6.7989999999999995;6.7989999999999995;6.7989999999999995;6.7989999999999995;4.965999999999999;4.965999999999999;4.965999999999999;4.965999999999999;9.78;4.061999999999999;4.965999999999999;4.965999999999999;9.78;4.944;4.944;4.965999999999999;4.965999999999999
7.005;7.005;8.51;7.005;7.005;7.005;7.005;7.005;6.548;7.005;7.005;4.351;7.005;9.5;9.5;9.5;9.5;9.5;9.5;9.5;7.005;7.005;7.005;7.005;7.005;4.351;7.005;7.005;7.005;4.946;4.946;7.005;7.005
7.679;7.679;8.989;7.679;7.679;7.679;7.679;7.679;7.6530000000000005;7.679;7.679;13.580000000000002;7.679;13.580000000000002;13.580000000000002;13.580000000000002;13.580000000000002;13.580000000000002;13.580000000000002;13.580000000000002;7.679;7.679;7.679;7.679;7.679;4.596;7.679;7.679;7.679;4.9270000000000005;4.9270000000000005;7.679;7.679
8.41;8.41;12.213;8.41;8.41;8.41;8.41;8.41;8.363;8.41;8.41;15.069999999999999;8.41;15.069999999999999;15.069999999999999;15.069999999999999;15.069999999999999;15.069999999999999;15.069999999999999;15.069999999999999;8.41;8.41;8.41;8.41;8.41;6.244;8.41;8.41;8.41;4.889;4.889;8.41;8.41
9.474;9.474;12.604000000000001;9.474;9.474;9.474;9.474;9.474;9.474;9.474;9.474;15.572;9.474;15.572;15.572;15.572;15.572;15.572;15.572;15.572;9.474;9.474;9.474;9.474;9.474;6.444;9.474;9.474;9.474;4.845000000000001;4.845000000000001;9.474;9.474
9.68;9.68;12.51;9.68;9.68;9.68;9.68;9.68;9.402;9.68;9.68;6.396;9.68;14.709;14.709;14.709;14.709;14.709;14.709;14.709;9.68;9.68;9.68;9.68;9.68;6.396;9.68;9.68;9.68;4.8740000000000006;4.8740000000000006;9.68;9.68
9.717;9.717;15.635;9.717;9.717;9.717;9.717;9.717;9.717;9.717;9.717;10.0;9.717;10.0;10.0;10.0;10.0;10.0;10.0;10.0;9.717;9.717;9.717;9.717;9.78;7.994;9.717;9.717;9.78;4.906000000000001;4.906000000000001;9.717;9.717
10.1;9.520999999999999;19.753999999999998;10.1;10.1;10.126999999999999;10.126999999999999;10.126999999999999;10.126999999999999;9.852;10.1;15.5;10.1;15.5;15.5;15.5;15.5;15.5;15.5;15.5;10.126999999999999;10.126999999999999;10.126999999999999;10.1;9.852;10.1;10.1;10.1;9.852;4.956;4.956;10.126999999999999;10.126999999999999
12.66;11.166;23.833000000000002;12.66;12.66;12.66;12.66;12.66;12.66;11.45;12.66;16.978;12.66;16.978;16.978;16.978;16.978;16.978;16.978;16.978;12.66;12.66;12.66;12.66;11.45;12.186;12.66;12.66;11.45;5.0280000000000005;5.0280000000000005;12.66;12.66
14.997;14.997;23.836000000000002;14.997;14.997;14.997;14.997;14.997;14.997;14.997;14.997;20.31;14.997;20.31;20.31;20.31;20.31;20.31;20.31;20.31;14.997;14.997;14.997;14.997;14.997;12.187000000000001;14.997;14.997;14.997;5.0920000000000005;5.0920000000000005;14.997;14.997
