AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IE_SEM;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
1.206;-0.43899999999999995;2.002;1.536;0.484;0.20099999999999998;0.20099999999999998;0.20099999999999998;0.20099999999999998;0.0;-0.517;23.09;1.9760000000000002;16.038;19.59;19.59;19.59;19.59;19.59;19.59;19.59;0.20099999999999998;0.20099999999999998;-0.361;1.809;0.0;2.002;2.0260000000000002;1.331;0.0;0.20099999999999998;0.20099999999999998;0.20099999999999998;0.20099999999999998
-0.01;-0.175;2.002;0.001;-0.034999999999999996;0.13799999999999998;0.13799999999999998;0.20099999999999998;0.20099999999999998;-0.01;-0.10700000000000001;23.09;0.019;15.775;19.109;19.109;19.109;19.109;19.109;19.109;19.109;0.20099999999999998;0.20099999999999998;-0.146;0.575;0.0;2.002;0.033;-0.007000000000000001;0.0;0.13799999999999998;0.13799999999999998;0.13799999999999998;0.13799999999999998
-0.066;-0.146;0.018;-0.03;-0.097;0.009;0.009;0.13799999999999998;0.13799999999999998;-0.133;-0.147;26.819;0.007000000000000001;14.75;18.794999999999998;18.794999999999998;18.794999999999998;18.794999999999998;18.794999999999998;18.794999999999998;18.794999999999998;0.13799999999999998;0.13799999999999998;-0.152;0.5269999999999999;0.0;0.018;0.05;-0.047;0.0;0.009;0.009;0.009;0.009
-0.199;-0.5269999999999999;0.001;-0.10500000000000001;-0.193;0.008;0.008;0.009;0.009;-0.40800000000000003;-0.508;22.958000000000002;0.001;14.471;18.782;18.782;18.782;18.782;18.782;18.782;18.782;0.009;0.009;-0.5;0.5740000000000001;0.0;0.001;0.05;-0.156;0.0;0.008;0.008;0.008;0.008
-0.242;-0.441;0.001;-0.145;-0.307;0.005;0.005;0.008;0.008;-0.41600000000000004;-0.449;23.598;-0.077;14.471;18.774;18.774;18.774;18.774;18.774;18.774;18.774;0.008;0.008;-0.45999999999999996;0.522;0.0;0.001;0.01;-0.194;0.0;0.005;0.005;0.005;0.005
-0.186;-0.54;0.001;-0.095;-0.186;0.0;0.008;0.005;0.005;-0.358;-0.54;23.428;0.001;14.253;18.774;18.774;18.774;18.774;18.774;18.774;18.774;0.005;0.005;-0.40499999999999997;0.614;0.0;0.001;0.072;-0.142;0.0;0.008;0.008;0.008;0.008
-0.335;-0.46900000000000003;0.001;-0.253;-0.344;-0.038;0.009;0.008;0.008;-0.437;-0.502;23.762999999999998;-0.256;13.63;18.722;18.722;18.722;18.722;18.722;18.722;18.722;0.008;0.008;-0.36;0.5309999999999999;0.0;0.001;-0.24500000000000002;-0.29700000000000004;0.0;0.009;0.009;0.009;0.009
0.0;-0.131;0.001;-0.009;-0.047;0.0;0.053000000000000005;0.009;0.009;-0.012;-0.13;23.966;0.002;14.986;18.782;18.782;18.782;18.782;18.782;18.782;18.782;0.009;0.009;0.0;0.599;0.0;0.0;0.004;-0.012;0.0;0.053000000000000005;0.053000000000000005;0.053000000000000005;0.053000000000000005
-0.022;-0.157;0.001;0.003;-0.03;0.0;0.20299999999999999;0.053000000000000005;0.053000000000000005;-0.006;-0.144;23.188;0.03;16.0;18.647;18.647;18.647;18.647;18.647;18.647;18.647;0.053000000000000005;0.053000000000000005;0.0;0.663;0.0;0.001;0.048;-0.006;0.0;0.20299999999999999;0.20299999999999999;0.20299999999999999;0.20299999999999999
0.028999999999999998;-0.10300000000000001;0.028999999999999998;0.06;0.026000000000000002;0.004;0.31;0.20299999999999999;0.20299999999999999;0.0;-0.10900000000000001;18.647;0.095;17.5;18.647;18.647;18.647;18.647;18.647;18.647;18.647;0.20299999999999999;0.20299999999999999;0.0;0.6639999999999999;0.0;0.028999999999999998;0.119;0.047;0.0;0.31;0.31;0.31;0.31
